"Facility Zip",Id,Airport Code
"01581",15715,BOS27
"01581",44411,BOS36
"01605",42641,ORH33
"01749",651,BOS14
"01864",649,BOS12
"01864",6202,BOS23
"02110",45186,BOS41
"02116",3989,BOS31
"02119",40637,BOS34
"02135",43045,BOS39
"02142",648,BOS11
"02155",657,BOS20
"02210",654,BOS17
"02210",6204,BOS21
"02915",41799,BDL33
"07043",13217,TEB1
"07102",737,EWR1
"07102",6207,EWR11
"07102",43792,EWR33
"07302",44452,EWR16
"07302",738,EWR3
"08085",12655,RW02
"08550",44720,EWR35
"08830",43793,EWR34
"10001",811,JFK14
"10001",813,JFK19
"10001",15655,JFK24
"10010",3252,LGA16
"10013",6203,LGA14
"10016",41850,JFK33
"10018",15656,JFK25
"10018",30371,JFK27
"10018",40280,NYC33
"10314",43344,JFK35
"11249",30372,JFK28
"11530",4381,ISP33
"14203",3994,BUF10
"14204",46646,BUF33
"15203",946,PIT10
"19355",11831,PHL10
"20001",698,WAS11
"20151",41079,IAD37
"20170",781,IAD21
"20171",783,IAD28
"20171",6205,IAD31
"20794",15716,BWI11
"20877",44471,HGR33
"21046",42506,BWI22
"21236",43751,BWI33
"22202",15441,WAS14
"22202",15691,WAS15
"22202",15692,WAS16
"22202",15695,WAS19
"22202",15711,WAS26
"22202",41226,WAS32
"22204",15693,WAS17
"23227",44940,RIC33
"23320",3790,ORF33
"27603",42648,RDU11
"28203",15717,CLT12
"29405",41554,CHS11
"30005",602,ATL13
"30305",600,ATL11
"30338",41247,ATL19
"30363",601,ATL12
"30548",45920,AHN1
"33131",41876,MIA15
"33134",900,MIA11
"33134",31017,MIA14
"33602",42037,TPA13
"35242",26578,EEBS
"37203",15653,BNA12
"37208",15654,BNA15
"37219",15080,BNA13
"41011",23282,CVG14
"41011",23226,CVG80
"43215",46600,CMH11
"44143",7792,CLE10
"45202",15718,CVG13
"48009",42535,DTW13
"48226",726,DTW10
"53703",6564,MSN4
"53704",42007,MKE33
"55401",909,MSP12
"60018",3267,MDW33
"60402",40649,DCH33
"60606",925,ORD10
"60606",926,ORD11
"60611",22926,ORD13
"60654",10675,MDW14
"61107",3290,RFD33
"63101",46469,STL10
"66202",30974,MCA20
"75240",718,DFW11
"75240",29451,DFW15
"77024",5881,HOU14
"77024",5239,HOU16
"77042",9377,HOU11
"77845",43897,PTX3
"78230",44951,SAT12
"78758",604,AUS11
"78758",606,AUS13
"78758",15634,AUS16
"78758",29575,AUS19
"78758",40633,AUS22
"78758",41930,AUS24
"80027",15739,WBU12
"80202",5880,DEN17
"80216",43758,DEN26
"80302",1151,WBU11
"83642",27906,PIP14
"84101",41452,SLC17
"84111",40296,SLC16
"84120",27905,PIP13
"85004",46779,PHX40
"85281",941,PHX11
"85281",942,PHX12
"85282",609,AZA3
"85282",3876,AZA7
"85282",3173,CAZ1
"85284",7017,AZA10
"89101",6585,LAS10
"89119",10259,LAS16
"90013",40772,LAX74
"90045",22805,LAX24
"90069",11318,LAX71
"90069",41863,LAX82
"90203",41865,LAX84
"90210",41861,LAX79
"90212",41867,LAX86
"90232",837,LAX18
"90232",6208,LAX21
"90232",6209,LAX22
"90232",10310,LAX35
"90232",5202,LAX47
"90232",44490,LAX66
"90232",41109,LAX75
"90245",46024,LAX57
"90248",4417,LGB33
"90250",6588,LAX32
"90404",830,LAX10
"90404",835,LAX16
"90802",6589,LGB10
"91105",46723,LAX59
"91106",15733,LAX39
"91311",45197,BUR33
"91403",41866,LAX85
"91505",41864,LAX83
"92056",44281,SAN20
"92111",41441,SAN33
"92121",5883,SAN13
"92122",41439,SAN17
"92127",1000,SAN15
"92618",1119,SNA11
"92618",1120,SNA12
"92618",5244,SNA16
"92618",40922,SNA17
"92618",41183,SNA18
"92618",1122,SNA3
"93101",1003,SBA11
"93401",1004,SBP1
"93401",1005,SBP10
"93401",41173,SBP12
"94010",5216,SFO46
"94089",1096,SJC10
"94089",1097,SJC11
"94089",1099,SJC13
"94089",1100,SJC14
"94089",6232,SJC31
"94089",1112,SJC32
"94104",6605,SFO19
"94105",1079,SFO13
"94105",5884,SFO28
"94107",28327,SFO38
"94111",1076,SFO10
"94301",1077,SFO12
"94301",1083,SFO22
"94301",6606,SFO24
"94301",588,SFO36
"94301",31230,SFO39
"94303",1102,SJC18
"94404",4667,SJC80
"94404",4668,SJC81
"94404",41905,SJC89
"94404",44988,SJC91
"94704",924,OAK1
"95014",1095,SJC1
"95014",5886,SJC29
"95014",1109,SJC3
"95030",42427,SFO95
"95054",6230,SJC25
"95054",5219,SJC38
"95054",5569,SJO33
"95060",906,MRY11
"95110",22583,SJC23
"95688",42030,SMF33
"95814",41663,SMF12
"97201",933,PDX13
"97201",6600,PDX17
"98004",1016,SEA104
"98004",15676,SEA106
"98004",15677,SEA107
"98004",41178,SEA132
"98004",1067,SEA82
"98004",12872,SEA93
"98004",12873,SEA94
"98033",47321,PAE33
"98052",29461,SEA114
"98052",40531,SEA129
"98065",12618,RNT11
"98101",1018,SEA116
"98101",45635,SEA134
"98101",1019,SEA18
"98101",1031,SEA33
"98101",1047,SEA51
"98101",1053,SEA58
"98101",1066,SEA81
"98101",1069,SEA84
